trial,Metric,Iters,Best_Iter,minibatch_size,lr,gamma,lambda_,clip_param,grad_clip,kl_target,kl_coeff,use_kl_loss,vf_clip_param,vf_loss_coeff,vf_share_layers
41620451,1.0405,43,43,4096,7.326509173540731e-05,0.99,0.9835580330481777,0.12834178418843187,100.0,0.026487077967399505,0.11312064990753246,False,inf,0.7549857574758587,-1
f93f1442,1.0263975155279503,14,14,2048,6.98901086086285e-05,0.99,0.9702477670343811,0.29567057573339806,100.0,0.022753493736418398,0.32993866622093704,False,10.0,0.7954709352465653,-1
33152801,1.012,45,45,4096,0.00017667715525834413,0.99,0.9896845410002009,0.1758869350283815,40.0,0.01802410214725588,0.16317321709958751,True,40.0,0.8057095510921466,-1
a34090ab,1.0057142857142858,37,37,4096,3.2682926130317574e-05,0.99,0.9959519810724166,0.2054872229141644,200.0,0.0244585198453797,0.10112878636449373,True,inf,0.9167209330585007,-1
d930b092,0.9075,44,44,4096,1.3785980582134244e-05,0.99,0.9851077070376707,0.18553266735329438,200.0,0.018645283054963095,0.128542269088885,False,10.0,0.9604514449772259,-1
93c97f6f,0.5161036920659857,27,27,2048,0.0008027157295087074,0.99,0.9749391653959175,0.15824787920755373,100.0,0.023959633227197897,0.21559330891775885,True,10.0,0.6720171885689014,-1
a9738e83,0.4961479198767334,27,27,2048,0.0003773334594114051,0.99,0.9887732104423561,0.20039343026508466,200.0,0.011898688277702954,0.34860928346362063,True,10.0,0.6285719898834856,-1
e8e36a1c,0.2653061224489796,24,24,4096,0.000135664665973504,0.99,0.9937536851928896,0.27911449085954987,200.0,0.029719740179796617,0.3983740318824833,False,40.0,0.7179342702324623,-1
71e22308,0.2330383480825958,28,28,2048,0.0007476705923803985,0.99,0.9896675019351979,0.15824456499448694,100.0,0.017346862238219414,0.144299838129755,False,10.0,0.9121432445494719,-1
93eacd38,0.081081081081081,8,8,512,1.050577938931296e-05,0.99,0.9722730830186583,0.16662775490288723,100.0,0.023148210328606166,0.2589146569283646,True,40.0,0.897292705267708,-1
19dfc7bf,-0.0697674418604651,1,1,2048,4.7934207305492026e-05,0.99,0.9863512180869709,0.1256472908445943,200.0,0.01579005570212417,0.31501714914147405,False,40.0,0.8044366681920581,-1
acf77b39,-0.0715,45,45,4096,1.82875838458296e-05,0.99,0.9994926999085145,0.26914121942925817,100.0,0.029943555844548365,0.14258070173899595,False,40.0,0.7571754183832184,-1
5151617a,-0.2291666666666666,1,1,512,0.0005222360840633176,0.99,0.9977361147389363,0.23626168901957026,40.0,0.013758019366073689,0.15569237479601908,False,inf,0.7259078792302917,-1
