trial,Metric,Iters,Best_Iter,minibatch_size,lr,gamma,lambda_,clip_param,grad_clip,kl_target,kl_coeff,use_kl_loss,vf_clip_param,vf_loss_coeff,vf_share_layers
8afcbe45,1.6955,50,50,4096,9.588798263549359e-05,0.9865421646761446,0.9771515116896727,0.28415334203221554,100.0,0.016565651939114936,0.2819147581653253,False,40.0,0.9209471471022747,-1
3dd89fff,1.687,50,50,4096,9.204507445838869e-05,0.9780671116294248,0.9746450626911681,0.2930907244621258,100.0,0.017953357922954348,0.2951204977916484,False,40.0,0.9843090861621244,-1
cfab6f84,1.6115,50,50,4096,5.8035237069823004e-05,0.9634555044631109,0.984363151935849,0.2497627968828729,100.0,0.017804754744596966,0.29619727136905316,False,40.0,0.9643713135328265,-1
c4df59c2,1.6,50,50,4096,9.922623763005149e-05,0.9736388036489051,0.973261127016579,0.2599103899788945,100.0,0.01401969030495168,0.18810887770950918,False,40.0,0.6435451337435042,-1
448e640d,1.578,50,50,4096,4.8198383338499705e-05,0.9648199668503901,0.9943303514745658,0.2526615683898408,100.0,0.01683700370996302,0.31476028521684535,False,40.0,0.994265566031088,-1
126b4e15,1.567,50,50,4096,6.301688681067838e-05,0.971282387748864,0.9737039923968389,0.2692011758213277,100.0,0.0193331968335578,0.21686468258574348,True,inf,0.3826086077026501,-1
847c9d4b,1.552,50,50,4096,5.548887836063789e-05,0.9596413360157442,0.9862907436553572,0.23175714592732163,100.0,0.013102311460203605,0.3338061469672005,False,40.0,0.742059692162334,-1
703e62c8,1.528,50,50,4096,6.709259470787127e-05,0.9658006989801632,0.9856074625682555,0.2405072239096917,100.0,0.01000685310022313,0.3565811443220313,False,40.0,0.6163840010588132,-1
a9681a52,1.498,50,50,4096,0.0001986953315897688,0.9721405552168008,0.9701281913607976,0.2809995762303957,100.0,0.021278404857539717,0.3089224521663718,False,10.0,0.6995959882676767,-1
64e10171,1.4515,50,50,4096,0.00013396848221143193,0.9766656725516422,0.9814397091596833,0.29408739686258745,100.0,0.016602487670065873,0.36922146751914736,True,40.0,0.4883188759983938,-1
bd5ccaba,1.3305,50,50,4096,0.00012778967327979585,0.9558425070377284,0.9775242631245964,0.18690856574072234,100.0,0.022993397898199878,0.2314923664113468,False,inf,0.5950150485612933,-1
110ecb3b,1.256,50,50,4096,8.515431655096382e-05,0.9690257662531254,0.999872455641905,0.2576749136677528,100.0,0.010063300288894718,0.20987453041866774,True,inf,0.5405592189276126,-1
9346e4e4,1.1805,50,50,1024,0.00017766440608542964,0.9803465693038699,0.9810954979857642,0.2216958231500621,,0.02734774939936909,0.17979368278018132,True,40.0,0.6662182409611106,-1
4d2cc973,1.1685,50,50,4096,0.0002184641963167428,0.9552984045008208,0.9836806301596864,0.15808723906407995,,0.021490087218918874,0.3212820130472364,True,inf,0.4935460054201174,-1
875c231c,1.0254335260115608,18,18,1024,4.611209551527803e-05,0.9815230687640217,0.9710049965328177,0.2748075485837445,40.0,0.018620754696882565,0.33934716187258607,False,inf,0.8584635286061285,-1
36fef880,1.0091666666666668,25,25,4096,4.8590212198940006e-05,0.9817216685091037,0.9811959152521544,0.18262575720728222,200.0,0.02063631799256941,0.3541543666656167,False,40.0,0.6025285849900323,-1
4d26fcb4,0.9633781763826608,28,28,2048,8.390154158580495e-05,0.9677871238655118,0.9716609365838219,0.26404917279163326,100.0,0.019058573093198226,0.27148781128258515,False,40.0,0.9626527367420886,-1
95b69cd7,0.9392348087021756,28,28,2048,7.779459426583787e-05,0.9896781039034733,0.9893366006503123,0.24897427763915636,200.0,0.022148853925590878,0.26317396817496275,False,40.0,0.5208906265222714,-1
4c4a6046,0.9368895567242674,28,28,512,4.165296103788291e-05,0.9748902242066351,0.9711749049302788,0.2074969174855322,40.0,0.014725683807795504,0.229689190486329,True,40.0,0.5777127607326239,-1
0114ca71,0.8894858019953953,28,28,4096,0.00023098129434830908,0.9687435768574532,0.9755384797726098,0.28575982137564526,100.0,0.02044369757753962,0.24218224664947227,False,40.0,0.9327214280104195,-1
2c86b9f6,0.8378582202111614,28,28,1024,0.0001524839498612507,0.9790525576364646,0.9799083572347135,0.23949317618409766,,0.029090045246527006,0.13523157971764085,True,40.0,0.8889201593151214,-1
463ea01f,0.8152046783625732,18,18,4096,9.040578614992406e-05,0.960594403658305,0.9881409891796504,0.24796627769365825,100.0,0.014296274312374457,0.31942322161825243,False,40.0,0.951877105466045,-1
2934b96f,0.793591654247392,28,28,1024,0.00013441171954259648,0.9647544899495785,0.9868182949990195,0.291180006791983,40.0,0.015642859631503345,0.20875238248254796,False,40.0,0.9793749358646907,-1
f6206b04,0.7404674046740467,17,17,4096,7.33324864949023e-05,0.9734521125783197,0.9804768623197544,0.2686246441703234,100.0,0.017153013258301444,0.3282985144544137,False,40.0,0.8526905693536193,-1
7a8be593,0.6601815823605707,16,16,512,0.00016847140166829813,0.9843743143322206,0.9781271812281838,0.29178202316439766,,0.01970545641804274,0.36363332675134796,True,10.0,0.6781749604512065,-1
3b8f1bcc,0.637323943661972,12,12,1024,9.70214260221132e-05,0.9884886491365237,0.9788666983982975,0.299318111493807,100.0,0.012173793681753708,0.19964789179239717,True,inf,0.9358675761539038,-1
2431c9ff,0.5704697986577181,28,28,2048,0.0008638099573146031,0.9835336388517982,0.9724624162742254,0.11885403476124637,,0.011741048122092021,0.3278365794776663,True,10.0,0.1782693068804578,-1
9861a049,0.4732026143790849,16,16,512,0.00034714529136590995,0.9754269286518122,0.9931363095791096,0.19085160913628268,200.0,0.025860656678999075,0.3271712482033152,False,40.0,0.8734416895901934,-1
4567f1ef,0.4069069069069069,14,14,4096,0.0003906214400575096,0.983335433790771,0.9727147100837005,0.2147910320260566,,0.016185858929532688,0.3844222618985714,False,inf,0.012224290111207126,-1
5d5d68fe,0.3694362017804154,14,14,4096,0.0005758847825823491,0.989977435915575,0.9760230152281759,0.2579436161904912,100.0,0.013725764100960335,0.30430417832435736,True,40.0,0.33486909278428373,-1
7954c381,0.2934131736526946,14,14,4096,0.000441759459243455,0.9879838452767651,0.9764398396200822,0.1712179339829925,100.0,0.01666440296254629,0.2410451610630594,False,40.0,0.6481374802898185,-1
739e7550,0.2886904761904761,14,14,1024,0.00027234145501557616,0.9862950155765028,0.9968936768020804,0.20829419930110005,,0.014327635813513121,0.17615802469055736,False,inf,0.22735180960536838,-1
604a19f3,0.2732644017725258,14,14,2048,0.0009381424936356949,0.9824814464434516,0.9835069253003589,0.17825814295986353,,0.017705885707800517,0.38501993373760635,True,10.0,0.420860862902777,-1
