trial,Metric,Iters,Best_Iter,minibatch_size,lr,gamma,lambda_,clip_param,grad_clip,kl_target,kl_coeff,use_kl_loss,vf_clip_param,vf_loss_coeff,vf_share_layers
f09cb386,1.032967032967033,21,21,1024,3.740012217148071e-05,0.99,0.9718644952246672,0.2203395264926114,,0.027354367315299027,0.1127319208388323,True,10.0,0.8723201166755219,-1
b688d129,1.0049710024855012,25,25,4096,6.85727075658587e-05,0.99,0.9878739643876455,0.24162385673305076,100.0,0.011016029533934926,0.3828197827095332,False,40.0,0.6625322899570429,-1
eadad2b0,0.7473794549266246,20,20,2048,6.941340033238489e-05,0.99,0.9853832846307216,0.16815276576812827,,0.021373803090987673,0.1183359871154455,True,10.0,0.562608726132015,-1
60847e27,0.5176848874598071,20,20,2048,0.00040833299331824257,0.99,0.9718930119930678,0.18793995017488782,100.0,0.022630694695094558,0.2810090856971207,True,inf,0.5214087680460477,-1
a8603f63,0.4924242424242424,11,11,4096,6.634532016918828e-05,0.99,0.9889387616269356,0.2990316841528757,100.0,0.010455135655722963,0.18770954843918936,False,40.0,0.7196282437949726,-1
c4f82855,0.2947019867549668,13,13,4096,0.0001917322972602128,0.99,0.9968056044515106,0.25589391199496914,100.0,0.011487650698553377,0.33705544830218737,False,40.0,0.6528661686695266,-1
2d474f63,0.278125,7,7,4096,7.994781848962444e-05,0.99,0.9935654005843971,0.21176865804920203,40.0,0.02528926825005931,0.2821495777964809,False,10.0,0.8344020687659959,-1
c17cd549,0.2567567567567568,20,20,2048,0.0009775211195069927,0.99,0.9844423318446152,0.2801702572122732,200.0,0.015258816691470941,0.3861326702006288,True,40.0,0.8015817751998002,-1
2deaa2bb,0.1113989637305699,8,8,512,0.000682088274052037,0.99,0.9928502970449634,0.18477728166705495,200.0,0.02407137002504286,0.3774772361281856,True,40.0,0.8696236422888555,-1
af6f2602,0.0222222222222222,1,1,1024,0.00021122697309295757,0.99,0.9818151463229903,0.2967328518049588,100.0,0.029511583050872578,0.1647577247043677,False,10.0,0.7589391635737717,-1
c2a342f2,-0.0113636363636363,6,2,4096,2.0287911379385057e-05,0.99,0.9878862652043864,0.2014719863351664,200.0,0.020912109976470153,0.15403415080968919,False,40.0,0.8162663951540452,-1
9d29df9e,-0.044776119402985,3,3,1024,1.980663775847385e-05,0.99,0.986932910918246,0.2307017100466629,,0.026517840228519114,0.20392885902608382,False,10.0,0.8505873983696908,-1
f2839387,-0.0514705882352941,5,3,4096,0.0005777617840184558,0.99,0.9953217982885162,0.26515311673420333,200.0,0.013182396240253042,0.2482729652316737,True,40.0,0.7934534391875026,-1
557c1bb9,-0.0551724137931034,4,3,1024,4.248190958178896e-05,0.99,0.9784736434162806,0.2170751988729776,,0.02986884186242798,0.15500153759013083,False,10.0,0.7083958064744277,-1
40287ae7,-0.0575916230366492,4,4,4096,1.284397686643731e-05,0.99,0.9772120253584594,0.23935655991038218,200.0,0.020387774333876084,0.33249153906774853,False,40.0,0.6256484240710911,-1
fd2b9d7c,-0.0666666666666666,9,1,4096,3.528259223433331e-05,0.99,0.9719075596572253,0.27062959369263717,,0.018778780644126178,0.26752056242853595,False,40.0,0.9363616979001528,-1
4e14112b,-0.0818965517241379,5,5,512,0.00011823432233044487,0.99,0.9946437612910636,0.12254904310125547,200.0,0.011554373438812441,0.2668974232408693,False,40.0,0.9270206892923589,-1
3df2cc11,-0.0851063829787234,5,1,512,0.0006177797353031678,0.99,0.9737307244577738,0.14336683103161427,,0.02798806012254878,0.118844329153724,True,inf,0.925845108508452,-1
ea8f366d,-0.0888888888888888,5,1,4096,2.4414135806576715e-05,0.99,0.992495670059663,0.18126160028923907,200.0,0.01567997577690586,0.11376440837372928,True,10.0,0.8952080997221625,-1
4330bab1,-0.0909090909090909,5,1,1024,5.1996777939277e-05,0.99,0.9806540594561696,0.23690983787569034,40.0,0.01459499382880565,0.29365175915724195,True,10.0,0.8254477955747499,-1
070e01e4,-0.0930232558139534,3,1,1024,1.0286338193055879e-05,0.99,0.9701014529773071,0.2101728987438373,,0.026595135471418428,0.14262244396303525,False,10.0,0.9541024184524576,-1
34d0a68d,-0.0967741935483871,8,4,4096,1.6609959014017897e-05,0.99,0.9981607399920246,0.2545149777730952,,0.02712623975751966,0.3350338221911262,True,10.0,0.938428329786234,-1
2a0adcc5,-0.1136363636363636,3,1,1024,2.7035872357537594e-05,0.99,0.9900228619180819,0.13189610043109237,40.0,0.010921197068462632,0.3845142661148403,True,40.0,0.6624243416393207,-1
c06ff063,-0.1224489795918367,5,1,4096,1.6180280521694853e-05,0.99,0.9981739644420904,0.1519660320828628,200.0,0.01871203116113266,0.3878818481390137,True,inf,0.9968444604101077,-1
3e8b2398,-0.128,5,5,4096,0.00015207995083909055,0.99,0.9856526404784083,0.2762107337879543,100.0,0.010229574905189009,0.19093787498349352,False,40.0,0.6452432097057922,-1
8d9afaf9,-0.1310344827586207,3,3,2048,1.9259202071342806e-05,0.99,0.9755566854453495,0.21733394244441692,40.0,0.020389995823422765,0.18929434509225396,True,40.0,0.7122856646404241,-1
a9593a71,-0.1333333333333333,5,1,512,0.0009023450881044619,0.99,0.9988969487320025,0.21401926530714566,40.0,0.02303263465576385,0.24306016177293205,False,40.0,0.8103585420274539,-1
8c341a14,-0.1373390557939914,5,5,1024,0.00013729983015523193,0.99,0.9774006506353227,0.12415564605678893,200.0,0.020109240228595553,0.12914765399342956,False,10.0,0.5364186467592225,-1
074879e5,-0.1422764227642276,5,5,4096,7.801660913790654e-05,0.99,0.975432887670778,0.19675060798639332,200.0,0.015027634567770986,0.32101105632127647,False,inf,0.7745843121008325,-1
6d7fd0ad,-0.1436170212765957,4,4,1024,3.066634040429896e-05,0.99,0.983404314187028,0.27215144058138324,,0.010997708592671605,0.34998997188720915,False,10.0,0.7139139527541295,-1
1b006850,-0.1450777202072538,5,4,512,0.00037228043918792133,0.99,0.9939900674579863,0.11006205073404432,,0.020436437295198985,0.22755781101799116,True,10.0,0.7507757447256238,-1
c150e1a0,-0.1530612244897959,2,2,1024,9.23292795021277e-05,0.99,0.9769991561204745,0.23962827093770545,,0.0247598992417924,0.34735716041030684,True,10.0,0.6876227085976232,-1
307e8504,-0.1578947368421052,5,5,1024,0.0003242054366940307,0.99,0.9917140606975411,0.13415286309356492,200.0,0.013222969528614067,0.24879499489489293,True,inf,0.6648314166096538,-1
f741a984,-0.1701030927835051,4,4,512,8.664820409127655e-05,0.99,0.9745048071034507,0.10447237506311345,40.0,0.013069974539579417,0.3640862306076229,False,inf,0.566651714801409,-1
4a64a524,-0.1702127659574468,3,1,4096,0.00016798476491303632,0.99,0.9924717566149657,0.17035752943264731,,0.021386544881149258,0.288041911087618,True,40.0,0.7091038948301642,-1
8ba9e273,-0.1948717948717948,5,4,2048,1.3265032848049043e-05,0.99,0.9774703782172764,0.15471390459040824,200.0,0.026292872941528822,0.26127041096725756,False,inf,0.59972226451627,-1
ff341bae,-0.1991701244813278,5,5,2048,0.0003431907792495962,0.99,0.9990783868172345,0.11844083013374969,200.0,0.020548651687393425,0.2669753288512612,False,inf,0.9982263743254849,-1
6e08bb35,-0.2,5,5,2048,3.667861758836441e-05,0.99,0.9893358921301924,0.17051769189559654,100.0,0.014310550377387769,0.2810669029115608,True,inf,0.7385736612738063,-1
fa8ad769,-0.2216494845360824,5,4,4096,2.9862743506897467e-05,0.99,0.9895389501995219,0.13047002675675218,40.0,0.017829823379090025,0.23430467414448095,True,40.0,0.5673615950768227,-1
afa1fc5b,-0.2244897959183673,2,2,1024,0.0001470717971050074,0.99,0.9989680179207365,0.11211568858269833,100.0,0.02717422036316483,0.1402783525215364,False,10.0,0.71954326752158,-1
b7dfb1bb,-0.2291666666666667,2,2,512,2.141059565889164e-05,0.99,0.9948407410584514,0.11857169227301999,200.0,0.023688925171919784,0.24739618804382504,False,10.0,0.5750589396165005,-1
307c844c,-0.2371134020618557,2,2,2048,0.0007655292197438164,0.99,0.9949823563152861,0.12207127614967672,200.0,0.02502422369009191,0.3862359141212831,True,10.0,0.8497247972618713,-1
704366f1,-0.2393162393162393,5,5,4096,1.1853818989786909e-05,0.99,0.9821461944146274,0.25149565264141016,100.0,0.017521169142861056,0.3200964035848428,False,40.0,0.6065803630507048,-1
cf1bf339,-0.25,3,3,2048,0.00024611542247048984,0.99,0.9993914715408412,0.1517100587796965,40.0,0.02071822017012471,0.27194072114247536,False,10.0,0.9965856009710854,-1
39431c9a,-0.2551020408163265,2,2,1024,0.0004798522479092155,0.99,0.9988293943197021,0.17510545751107348,40.0,0.021139001588667772,0.173041286523537,True,10.0,0.6836528064646848,-1
6e3cc474,-0.2699999999999999,2,2,1024,3.761596701085857e-05,0.99,0.9984152249851735,0.2900139905820679,40.0,0.0277921628153251,0.18314994894124909,False,inf,0.5341529332142114,-1
c9eeda11,-0.2783505154639175,2,2,1024,2.647713251608219e-05,0.99,0.989831440154478,0.22592646278128117,200.0,0.014261656959785547,0.22675641090366844,False,40.0,0.9196434740684829,-1
